;Number of Cluster
2;8
3;10
4;13
5;13
6;13
7;13
8;13
9;13
10;14
11;14
12;14
13;14
14;14
15;14
16;15
17;14
18;15
19;16
20;15
21;15
22;15
23;16
24;15
25;15
26;15
27;16
28;16
29;17
30;16
31;16
32;16
33;16
34;16
35;15
36;14
37;14
38;14
39;13
40;14
41;13
42;14
43;15
44;13
45;13
46;12
47;12
48;12
49;12
50;12
51;12
52;13
53;13
54;13
55;14
56;14
57;15
58;14
59;12
60;13
61;15
62;14
63;13
64;13
65;13
66;13
67;12
68;12
69;12
70;12
71;13
72;13
73;13
74;13
75;13
76;15
77;15
78;15
79;15
80;15
81;15
82;15
83;15
84;14
85;15
86;15
87;14
88;13
89;13
90;14
91;15
92;13
93;14
94;14
95;15
96;15
97;15
98;14
99;15
100;16
