;Number of Cluster
2;8
3;12
4;12
5;12
6;12
7;12
8;12
9;12
10;12
11;14
12;15
13;14
14;14
15;16
16;16
17;17
18;15
19;12
20;13
21;13
22;14
23;14
24;14
25;13
26;14
27;13
28;13
29;13
30;13
31;13
32;12
33;13
34;13
35;15
36;14
37;14
38;15
39;16
40;14
41;15
42;14
43;13
44;12
45;12
46;13
47;13
48;13
49;12
50;12
51;13
52;13
53;13
54;13
55;13
56;13
57;13
58;14
59;15
60;16
61;16
62;17
63;16
64;18
65;19
66;19
67;17
68;16
69;15
70;15
71;15
72;15
73;15
74;15
75;13
76;13
77;13
78;13
79;13
80;13
81;13
82;14
83;14
84;15
85;17
86;17
87;16
88;18
89;18
90;18
91;16
92;15
93;15
94;15
95;15
96;15
97;15
98;16
99;17
100;17
;1410
