;sglo;sdir;sdif;
ID: 3;0,0;0,0;0,0;
ID: 4;0,0;0,0;0,0;
ID: 5;0,0;0,0;0,0;
ID: 6;0,0;0,0;0,0;
ID: 7;0,0;0,0;0,0;
ID: 8;0,0;0,0;0,0;
ID: 9;0,0;0,0;0,0;
ID: 10;0,0;0,0;0,0;
ID: 11;0,0;0,0;0,0;
ID: 12;0,0;0,0;0,0;
ID: 13;0,0;0,0;0,0;
ID: 14;0,0;0,0;0,0;
ID: 15;0,0;0,0;0,0;
ID: 16;0,0;0,0;0,0;
ID: 17;0,0;0,0;0,0;
ID: 18;0,0;0,0;0,0;
ID: 19;0,0;0,0;0,0;
ID: 20;0,0;0,0;0,0;
ID: 21;0,0;0,0;0,0;
ID: 22;0,0;0,0;0,0;
ID: 23;0,0;0,0;0,0;
ID: 24;0,0;0,0;0,0;
ID: 25;0,0;0,0;0,0;
ID: 26;0,0;0,0;0,0;
ID: 27;0,0;0,0;0,0;
ID: 28;0,0;0,0;0,0;
ID: 29;0,0;0,0;0,0;
ID: 30;0,0;0,0;0,0;
ID: 31;0,0;0,0;0,0;
ID: 32;0,0;0,0;0,0;
ID: 33;0,0;0,0;0,0;
ID: 34;0,0;0,0;0,0;
ID: 35;0,0;0,0;0,0;
ID: 36;0,0;0,0;0,0;
ID: 37;0,0;0,0;0,0;
ID: 38;0,0;0,0;0,0;
ID: 39;0,0;0,0;0,0;
ID: 40;0,0;0,0;0,0;
ID: 41;0,0;0,0;0,0;
ID: 42;0,0;0,0;0,0;
ID: 43;0,0;0,0;0,0;
ID: 44;0,0;0,0;0,0;
ID: 45;0,0;0,0;0,0;
ID: 46;0,0;0,0;0,0;
ID: 47;0,0;0,0;0,0;
ID: 48;0,0;0,0;0,0;
ID: 49;479,049779920409;582,3963156597565;304,7014836078596;
ID: 50;1996,908004658494;774,4533603332575;1399,8040963546903;
ID: 51;539,1097633313278;555,5990409000145;353,5585409136891;
ID: 52;629,2313403567977;572,2121874917352;412,673246239964;
ID: 53;294,3913713342319;410,41574400746606;204,69247639572623;
ID: 54;533,9138816314726;551,1663317515059;338,5897620194777;
ID: 55;133,36391377152881;354,0379983500452;79,87295341183575;
ID: 56;125,0482852361956;326,6745698448042;77,16109483797908;
ID: 57;403,38312908169945;540,8506699155606;233,5925871177108;
ID: 58;234,63227587654322;488,1121668828204;132,17490126413068;
ID: 59;524,9183766992954;1416,6072886109591;271,7399703654985;
ID: 60;522,1645685026455;2077,9912575163316;213,2438891770364;
ID: 61;569,4948329415708;2146,81513726696;211,30922798891484;
ID: 62;383,30466306928093;1643,952776440899;143,61352925740772;
ID: 63;374,4847515321364;1562,421708807328;143,32070489330235;
ID: 64;492,69911031919565;2204,7818081105056;182,12081278556985;
ID: 65;341,3931186595453;1038,4404707375797;177,9791428277546;
ID: 66;176,00979579714345;659,8629188264835;78,90484684301586;
ID: 67;0,008038514907125012;2,8485982273144606;0,0038346618714281766;
ID: 68;472,98711090062807;981,762290513801;215,1359512604639;
ID: 69;180,94466167511965;568,5652672406305;67,43779537704856;
ID: 70;437,2745685400123;881,209791140905;203,958409151589;
ID: 71;450,18084980122364;871,3624901234799;212,77240554917142;
ID: 72;415,6387646314685;748,186457196882;171,81410709693694;
ID: 73;241,89123836571716;639,1051168511767;109,99246331559988;
ID: 74;447,4820675334215;865,6834004464798;214,46024925525697;
ID: 75;345,9464474908963;642,6495078010147;141,8974871746462;
ID: 76;456,1842538396371;908,9445289917275;221,05637681905884;
ID: 77;153,6865367370967;277,9283621121245;76,73170724944852;
ID: 78;402,0120371301449;660,9222472542372;190,229978357231;
ID: 79;386,807196373057;660,6346641478086;174,96645894878446;
ID: 80;113,92471306856346;236,14271205300193;59,45172213027838;
ID: 81;142,79200085936887;332,72493979642627;70,326712578529;
ID: 82;329,5307014143023;669,8510043531872;153,85973052479144;
ID: 83;319,52959040164603;1107,6948019451786;142,5049279983756;
ID: 84;315,7361994233851;944,5874282501725;142,75535530971325;
