;Number of Cluster
2;8
3;10
4;11
5;12
6;12
7;11
8;11
9;11
10;12
11;11
12;12
13;13
14;13
15;14
16;14
17;14
18;13
19;12
20;12
21;13
22;11
23;11
24;11
25;11
26;11
27;11
28;11
29;11
30;11
31;12
32;12
33;12
34;12
35;12
36;12
37;13
38;13
39;14
40;14
41;14
42;13
43;12
44;13
45;13
46;11
47;11
48;11
49;11
50;11
51;11
52;11
53;11
54;11
55;12
56;12
57;12
58;12
59;12
60;13
61;14
62;13
63;14
64;14
65;14
66;13
67;12
68;14
69;14
70;13
71;12
72;13
73;13
74;12
75;11
76;11
77;11
78;12
79;12
80;12
81;12
82;12
83;12
84;13
85;13
86;13
87;14
88;12
89;12
90;12
91;12
92;14
93;13
94;12
95;12
96;13
97;13
98;12
99;11
100;11
