;Number of Cluster
2;12
3;11
4;12
5;11
6;12
7;12
8;12
9;12
10;12
11;11
12;10
13;11
14;11
15;12
16;12
17;10
18;12
19;11
20;12
21;11
22;11
23;11
24;12
25;13
26;12
27;11
28;12
29;11
30;11
31;12
32;13
33;12
34;12
35;12
36;12
37;10
38;11
39;12
40;11
41;11
42;11
43;11
44;11
45;11
46;12
47;11
48;11
49;12
50;12
51;12
52;11
53;12
54;12
55;11
56;12
57;12
58;12
59;12
60;11
61;11
62;11
63;12
64;12
65;11
66;11
67;11
68;12
69;11
70;12
71;11
72;11
73;12
74;11
75;11
76;11
77;11
78;11
79;12
80;12
81;12
82;12
83;12
84;12
85;12
86;12
87;12
88;11
89;11
90;11
91;11
92;12
93;12
94;12
95;13
96;12
97;11
98;11
99;12
100;11
;1141
