@
3,46.5215,6.5672,1,2
5,46.5214,6.56732,1,2
7,46.5212,6.56593,1,2
8,46.5212,6.56868,1,2
9,46.5214,6.56768,1,2
10,46.5189,6.5685,1,2
11,46.5199,6.56618,1,2
12,46.5212,6.56827,1,2
13,46.5209,6.56804,1,2
14,46.521,6.56757,1,2
15,46.5212,6.56803,1,2
17,46.5215,6.56746,1,2
18,46.5212,6.56769,1,2
19,46.5192,6.56852,1,2
21,46.5212,6.56709,1,2
23,46.5216,6.56709,1,2
24,46.5211,6.56768,1,2
25,46.5211,6.56858,1,2
26,46.5213,6.5672,1,2
27,46.5212,6.56621,1,2
30,46.5213,6.56751,1,2
@
3,46.5215,6.5672,1,2
5,46.5214,6.56732,1,2
7,46.5212,6.56593,1,2
8,46.5212,6.56868,1,2
9,46.5214,6.56768,1,2
10,46.5189,6.5685,1,2
11,46.5199,6.56618,1,2
12,46.5212,6.56827,1,2
13,46.5209,6.56804,1,2
14,46.521,6.56757,1,2
15,46.5212,6.56803,1,2
17,46.5215,6.56746,1,2
18,46.5212,6.56769,1,2
19,46.5192,6.56852,1,2
21,46.5212,6.56709,1,2
23,46.5216,6.56709,1,2
24,46.5211,6.56768,1,2
25,46.5211,6.56858,1,2
26,46.5213,6.5672,1,2
27,46.5212,6.56621,1,2
30,46.5213,6.56751,1,2
@
3,46.5215,6.5672,10,2
5,46.5214,6.56732,20,2
7,46.5212,6.56593,10,2
8,46.5212,6.56868,20,2
9,46.5214,6.56768,10,2
10,46.5189,6.5685,20,2
11,46.5199,6.56618,10,2
12,46.5212,6.56827,20,2
13,46.5209,6.56804,10,2
14,46.521,6.56757,20,2
15,46.5212,6.56803,10,2
17,46.5215,6.56746,20,2
18,46.5212,6.56769,10,2
19,46.5192,6.56852,20,2
21,46.5212,6.56709,10,2
23,46.5216,6.56709,20,2
24,46.5211,6.56768,10,2
25,46.5211,6.56858,20,2
26,46.5213,6.5672,10,2
27,46.5212,6.56621,20, 2
30,46.5213,6.56751,15,2
@
3,46.5215,6.5672,10,1
5,46.5214,6.56732,10,2
7,46.5212,6.56593,10,3
8,46.5212,6.56868,10,4
9,46.5214,6.56768,10,5
10,46.5189,6.5685,10,6
11,46.5199,6.56618,10,7
12,46.5212,6.56827,10,8
13,46.5209,6.56804,10,9
14,46.521,6.56757,10,10
15,46.5212,6.56803,10,11
17,46.5215,6.56746,10,12
18,46.5212,6.56769,10,13
19,46.5192,6.56852,10,14
21,46.5212,6.56709,10,15
23,46.5216,6.56709,10,16
24,46.5211,6.56768,10,17
25,46.5211,6.56858,10,18
26,46.5213,6.5672,10,19
27,46.5212,6.56621,10,20
30,46.5213,6.56751,10,21
@
3,46.5215,6.5672,1, 1
5,46.5214,6.56732,2, 1
7,46.5212,6.56593,3, 1
8,46.5212,6.56868,4, 1
9,46.5214,6.56768,5, 100
10,46.5189,6.5685,6, 100
11,46.5199,6.56618,7, 100
12,46.5212,6.56827,8, 100
13,46.5209,6.56804,9, 2
14,46.521,6.56757,10, 2
15,46.5212,6.56803,11, 2
17,46.5215,6.56746,12, 2
18,46.5212,6.56769,13, 2
19,46.5192,6.56852,14, 2
21,46.5212,6.56709,15, 2
23,46.5216,6.56709,16, 2
24,46.5211,6.56768,17, 2
25,46.5211,6.56858,18, 2
26,46.5213,6.5672,19, 2
27,46.5212,6.56621,20, 2
30,46.5213,6.56751,21, 2
@
3,46.5215,6.5672,1, 1
5,46.5214,6.56732,2, 1
7,46.5212,6.56593,3, 1
8,46.5212,6.56868,4, 1
9,46.5214,6.56768,1, 1
10,46.5189,6.5685,21, 1
11,46.5199,6.56618,21, 1
12,46.5212,6.56827,1, 1
13,46.5209,6.56804,9, 1
14,46.521,6.56757,10, 1
15,46.5212,6.56803,11, 1
17,46.5215,6.56746,12, 1
18,46.5212,6.56769,13, 1
19,46.5192,6.56852,14, 1
21,46.5212,6.56709,15, 1
23,46.5216,6.56709,16, 1
24,46.5211,6.56768,17, 1
25,46.5211,6.56858,18, 1
26,46.5213,6.5672,19, 1
27,46.5212,6.56621,20, 1
30,46.5213,6.56751,21, 1
@
3,46.5215,6.5672,1,1
5,46.5214,6.56732,1,2
7,46.5212,6.56593,1,3
8,46.5212,6.56868,1,4
9,46.5214,6.56768,1,5
10,46.5189,6.5685,1,6
11,46.5199,6.56618,1,7
12,46.5212,6.56827,1,8
13,46.5209,6.56804,1,9
14,46.521,6.56757,1,10
15,46.5212,6.56803,1,11
17,46.5215,6.56746,1,12
18,46.5212,6.56769,1,13
19,46.5192,6.56852,1,14
21,46.5212,6.56709,1,15
23,46.5216,6.56709,1,16
24,46.5211,6.56768,1,17
25,46.5211,6.56858,1,18
26,46.5213,6.5672,1,19
27,46.5212,6.56621,1,20
30,46.5213,6.56751,1,21
@
3,46.5215,6.5672,1,2
5,46.5214,6.56732,1,2
7,46.5212,6.56593,1,2
8,46.5212,6.56868,1,2
9,46.5214,6.56768,1,2
10,46.5189,6.5685,1,2
11,46.5199,6.56618,1,2
12,46.5212,6.56827,1,2
13,46.5209,6.56804,1,2
14,46.521,6.56757,1,2
15,46.5212,6.56803,1,2
17,46.5215,6.56746,1,2
18,46.5212,6.56769,1,2
19,46.5192,6.56852,1,2
21,46.5212,6.56709,1,2
23,46.5216,6.56709,1,2
24,46.5211,6.56768,1,2
25,46.5211,6.56858,1,2
26,46.5213,6.5672,1,2
27,46.5212,6.56621,1,2
30,46.5213,6.56751,1,2
@
3,46.5215,6.5672,10,2
5,46.5214,6.56732,20,2
7,46.5212,6.56593,10,2
8,46.5212,6.56868,20,2
9,46.5214,6.56768,10,2
10,46.5189,6.5685,20,2
11,46.5199,6.56618,10,2
12,46.5212,6.56827,20,2
13,46.5209,6.56804,10,2
14,46.521,6.56757,20,2
15,46.5212,6.56803,10,2
17,46.5215,6.56746,20,2
18,46.5212,6.56769,10,2
19,46.5192,6.56852,20,2
21,46.5212,6.56709,10,2
23,46.5216,6.56709,20,2
24,46.5211,6.56768,10,2
25,46.5211,6.56858,20,2
26,46.5213,6.5672,10,2
27,46.5212,6.56621,20,2
30,46.5213,6.56751,15,2
@
3,46.5215,6.5672,10,1
5,46.5214,6.56732,10,2
7,46.5212,6.56593,10,3
8,46.5212,6.56868,10,4
9,46.5214,6.56768,10,5
10,46.5189,6.5685,10,6
11,46.5199,6.56618,10,7
12,46.5212,6.56827,10,8
13,46.5209,6.56804,10,9
14,46.521,6.56757,10,10
15,46.5212,6.56803,10,11
17,46.5215,6.56746,10,12
18,46.5212,6.56769,10,13
19,46.5192,6.56852,10,14
21,46.5212,6.56709,10,15
23,46.5216,6.56709,10,16
24,46.5211,6.56768,10,17
