;Number of Cluster;
2;12;1133
3;10;
4;11;
5;12;
6;12;
7;12;
8;12;
9;12;
10;11;
11;11;
12;11;
13;11;
14;12;
15;12;
16;10;
17;11
18;11
19;12
20;12
21;11
22;11
23;12
24;12
25;12
26;11
27;11
28;11
29;11
30;12
31;12
32;13
33;11
34;12
35;11
36;11
37;11
38;11
39;12
40;11
41;11
42;11
43;12
44;12
45;11
46;11
47;11
48;12
49;12
50;12
51;11
52;11
53;12
54;11
55;12
56;13
57;12
58;13
59;11
60;11
61;11
62;13
63;12
64;11
65;11
66;11
67;11
68;12
69;11
70;11
71;11
72;11
73;12
74;11
75;11
76;11
77;11
78;12
79;12
80;12
81;12
82;11
83;11
84;11
85;12
86;12
87;11
88;11
89;11
90;12
91;12
92;12
93;11
94;11
95;11
96;11
97;11
98;12
99;11
100;11
