;Number of Cluster
2;5
3;6
4;7
5;7
6;7
7;7
8;7
9;8
10;8
11;8
12;8
13;9
14;9
15;9
16;10
17;10
18;10
19;10
20;9
21;9
22;9
23;9
24;9
25;9
26;9
27;9
28;9
29;9
30;9
31;9
32;9
33;9
34;10
35;10
36;10
37;11
38;11
39;10
40;10
41;10
42;9
43;9
44;9
45;9
46;9
47;9
48;9
49;9
50;9
51;9
52;9
53;9
54;9
55;9
56;9
57;9
58;10
59;10
60;10
61;11
62;11
63;11
64;10
65;10
66;9
67;9
68;9
69;9
70;9
71;9
72;9
73;9
74;9
75;9
76;9
77;9
78;9
79;9
80;9
81;10
82;10
83;10
84;10
85;11
86;11
87;10
88;10
89;9
90;9
91;9
92;9
93;9
94;9
95;9
96;9
97;9
98;9
99;9
100;9
