@
1,46.5215,6.5672,1,2
3,46.5212,6.56593,1,2
2,46.5214,6.56732,1,2
5,46.5212,6.56868,1,2
4,50,50,40,41
6,50,50,60,61
7,50,50,40,41
8,50,50,60,61
9,60,60,5,5
10,70,7,5,8
@
1,46.5215,6.5672,1,2
2,46.5214,6.56732,20,21
5,46.5212,6.56868,50,51
@
5,46.5212,6.56868,52,53
1,46.5215,6.5672,1,2
@
1,46.5215,6.5672,4,5
3,46.5212,6.56593,34,35
5,46.5212,6.56868,1,2
2,46.5214,6.56732,24,25
@
1,46.5215,6.5672,4,5
3,46.5212,6.56593,34,35
@
1,46.5215,6.5672,1,2
3,46.5212,6.56593,1,2
2,46.5214,6.56732,1,2
5,46.5212,6.56868,1,2
4,50,50,40,41
6,50,50,60,61
@
5,46.5212,6.56868,1,2
6,50,50,30,61
@
2,46.5214,6.56732,1,2
6,50,50,60,61
7,50,50,40,41
8,50,50,60,61
9,60,60,5,5
10,70,7,5,8
@
